category_id;name;last_update
1;Action;2017-02-15 09:46:27+00
2;Animation;2017-02-15 09:46:27+00
3;Children;2017-02-15 09:46:27+00
4;Classics;2017-02-15 09:46:27+00
5;Comedy;2017-02-15 09:46:27+00
6;Documentary;2017-02-15 09:46:27+00
7;Drama;2017-02-15 09:46:27+00
8;Family;2017-02-15 09:46:27+00
9;Foreign;2017-02-15 09:46:27+00
10;Games;2017-02-15 09:46:27+00
11;Horror;2017-02-15 09:46:27+00
12;Music;2017-02-15 09:46:27+00
13;New;2017-02-15 09:46:27+00
14;Sci-Fi;2017-02-15 09:46:27+00
15;Sports;2017-02-15 09:46:27+00
16;Travel;2017-02-15 09:46:27+00
