city_id;city;country_id;last_update
1;A Corua (La Corua);87;2017-02-15 09:45:25+00
2;Abha;82;2017-02-15 09:45:25+00
3;Abu Dhabi;101;2017-02-15 09:45:25+00
4;Acua;60;2017-02-15 09:45:25+00
5;Adana;97;2017-02-15 09:45:25+00
6;Addis Abeba;31;2017-02-15 09:45:25+00
7;Aden;107;2017-02-15 09:45:25+00
8;Adoni;44;2017-02-15 09:45:25+00
9;Ahmadnagar;44;2017-02-15 09:45:25+00
10;Akishima;50;2017-02-15 09:45:25+00
11;Akron;103;2017-02-15 09:45:25+00
12;al-Ayn;101;2017-02-15 09:45:25+00
13;al-Hawiya;82;2017-02-15 09:45:25+00
14;al-Manama;11;2017-02-15 09:45:25+00
15;al-Qadarif;89;2017-02-15 09:45:25+00
16;al-Qatif;82;2017-02-15 09:45:25+00
17;Alessandria;49;2017-02-15 09:45:25+00
18;Allappuzha (Alleppey);44;2017-02-15 09:45:25+00
19;Allende;60;2017-02-15 09:45:25+00
20;Almirante Brown;6;2017-02-15 09:45:25+00
21;Alvorada;15;2017-02-15 09:45:25+00
22;Ambattur;44;2017-02-15 09:45:25+00
23;Amersfoort;67;2017-02-15 09:45:25+00
24;Amroha;44;2017-02-15 09:45:25+00
25;Angra dos Reis;15;2017-02-15 09:45:25+00
26;Anpolis;15;2017-02-15 09:45:25+00
27;Antofagasta;22;2017-02-15 09:45:25+00
28;Aparecida de Goinia;15;2017-02-15 09:45:25+00
29;Apeldoorn;67;2017-02-15 09:45:25+00
30;Araatuba;15;2017-02-15 09:45:25+00
31;Arak;46;2017-02-15 09:45:25+00
32;Arecibo;77;2017-02-15 09:45:25+00
33;Arlington;103;2017-02-15 09:45:25+00
34;Ashdod;48;2017-02-15 09:45:25+00
35;Ashgabat;98;2017-02-15 09:45:25+00
36;Ashqelon;48;2017-02-15 09:45:25+00
37;Asuncin;73;2017-02-15 09:45:25+00
38;Athenai;39;2017-02-15 09:45:25+00
39;Atinsk;80;2017-02-15 09:45:25+00
40;Atlixco;60;2017-02-15 09:45:25+00
41;Augusta-Richmond County;103;2017-02-15 09:45:25+00
42;Aurora;103;2017-02-15 09:45:25+00
43;Avellaneda;6;2017-02-15 09:45:25+00
44;Bag;15;2017-02-15 09:45:25+00
45;Baha Blanca;6;2017-02-15 09:45:25+00
46;Baicheng;23;2017-02-15 09:45:25+00
47;Baiyin;23;2017-02-15 09:45:25+00
48;Baku;10;2017-02-15 09:45:25+00
49;Balaiha;80;2017-02-15 09:45:25+00
