film_id;category_id;last_update
1;6;2017-02-15 10:07:09+00
2;11;2017-02-15 10:07:09+00
3;6;2017-02-15 10:07:09+00
4;11;2017-02-15 10:07:09+00
5;8;2017-02-15 10:07:09+00
6;9;2017-02-15 10:07:09+00
7;5;2017-02-15 10:07:09+00
8;11;2017-02-15 10:07:09+00
9;11;2017-02-15 10:07:09+00
10;15;2017-02-15 10:07:09+00
11;9;2017-02-15 10:07:09+00
12;12;2017-02-15 10:07:09+00
13;11;2017-02-15 10:07:09+00
14;4;2017-02-15 10:07:09+00
15;9;2017-02-15 10:07:09+00
16;9;2017-02-15 10:07:09+00
17;12;2017-02-15 10:07:09+00
18;2;2017-02-15 10:07:09+00
19;1;2017-02-15 10:07:09+00
20;12;2017-02-15 10:07:09+00
21;1;2017-02-15 10:07:09+00
22;13;2017-02-15 10:07:09+00
23;2;2017-02-15 10:07:09+00
24;11;2017-02-15 10:07:09+00
25;13;2017-02-15 10:07:09+00
26;14;2017-02-15 10:07:09+00
27;15;2017-02-15 10:07:09+00
28;5;2017-02-15 10:07:09+00
29;1;2017-02-15 10:07:09+00
30;11;2017-02-15 10:07:09+00
31;8;2017-02-15 10:07:09+00
32;13;2017-02-15 10:07:09+00
33;7;2017-02-15 10:07:09+00
34;11;2017-02-15 10:07:09+00
35;11;2017-02-15 10:07:09+00
36;2;2017-02-15 10:07:09+00
37;4;2017-02-15 10:07:09+00
38;1;2017-02-15 10:07:09+00
39;14;2017-02-15 10:07:09+00
40;6;2017-02-15 10:07:09+00
41;16;2017-02-15 10:07:09+00
42;15;2017-02-15 10:07:09+00
43;8;2017-02-15 10:07:09+00
44;14;2017-02-15 10:07:09+00
45;13;2017-02-15 10:07:09+00
46;10;2017-02-15 10:07:09+00
47;9;2017-02-15 10:07:09+00
48;3;2017-02-15 10:07:09+00
49;14;2017-02-15 10:07:09+00
50;8;2017-02-15 10:07:09+00
51;12;2017-02-15 10:07:09+00
52;9;2017-02-15 10:07:09+00
53;8;2017-02-15 10:07:09+00
54;12;2017-02-15 10:07:09+00
55;14;2017-02-15 10:07:09+00
56;1;2017-02-15 10:07:09+00
57;16;2017-02-15 10:07:09+00
58;6;2017-02-15 10:07:09+00
59;3;2017-02-15 10:07:09+00
60;4;2017-02-15 10:07:09+00
61;7;2017-02-15 10:07:09+00
62;6;2017-02-15 10:07:09+00
63;8;2017-02-15 10:07:09+00
64;7;2017-02-15 10:07:09+00
65;11;2017-02-15 10:07:09+00
66;3;2017-02-15 10:07:09+00
67;1;2017-02-15 10:07:09+00
68;3;2017-02-15 10:07:09+00
69;14;2017-02-15 10:07:09+00
70;2;2017-02-15 10:07:09+00
71;8;2017-02-15 10:07:09+00
72;6;2017-02-15 10:07:09+00
73;14;2017-02-15 10:07:09+00
74;12;2017-02-15 10:07:09+00
75;16;2017-02-15 10:07:09+00
76;12;2017-02-15 10:07:09+00
77;13;2017-02-15 10:07:09+00
78;2;2017-02-15 10:07:09+00
79;7;2017-02-15 10:07:09+00
80;8;2017-02-15 10:07:09+00
81;14;2017-02-15 10:07:09+00
82;8;2017-02-15 10:07:09+00
83;8;2017-02-15 10:07:09+00
84;16;2017-02-15 10:07:09+00
85;6;2017-02-15 10:07:09+00
86;12;2017-02-15 10:07:09+00
87;16;2017-02-15 10:07:09+00
88;16;2017-02-15 10:07:09+00
89;2;2017-02-15 10:07:09+00
90;13;2017-02-15 10:07:09+00
91;4;2017-02-15 10:07:09+00
92;11;2017-02-15 10:07:09+00
93;13;2017-02-15 10:07:09+00
94;8;2017-02-15 10:07:09+00
95;13;2017-02-15 10:07:09+00
96;13;2017-02-15 10:07:09+00
97;1;2017-02-15 10:07:09+00
98;7;2017-02-15 10:07:09+00
99;5;2017-02-15 10:07:09+00
100;9;2017-02-15 10:07:09+00
101;6;2017-02-15 10:07:09+00
102;15;2017-02-15 10:07:09+00
103;16;2017-02-15 10:07:09+00
104;9;2017-02-15 10:07:09+00
105;1;2017-02-15 10:07:09+00
106;10;2017-02-15 10:07:09+00
107;7;2017-02-15 10:07:09+00
108;13;2017-02-15 10:07:09+00
109;13;2017-02-15 10:07:09+00
110;3;2017-02-15 10:07:09+00
111;1;2017-02-15 10:07:09+00
112;9;2017-02-15 10:07:09+00
113;15;2017-02-15 10:07:09+00
114;14;2017-02-15 10:07:09+00
115;1;2017-02-15 10:07:09+00
116;4;2017-02-15 10:07:09+00
117;10;2017-02-15 10:07:09+00
118;2;2017-02-15 10:07:09+00
